name|type_desc|create_date|modify_date
Buscar_demo|SQL_STORED_PROCEDURE|2011-03-18 18:21:44.990|2015-08-19 21:54:42.017
mostrar_permisosContabilidad|SQL_STORED_PROCEDURE|2011-03-18 18:44:18.063|2015-08-19 21:54:42.067
mostrar_permisosProgramacion|SQL_STORED_PROCEDURE|2011-03-18 18:45:10.190|2015-08-19 21:54:42.067
Modificar_Contabilidad|SQL_STORED_PROCEDURE|2011-03-18 18:49:48.073|2015-08-19 21:54:42.070
Modificar_programacion|SQL_STORED_PROCEDURE|2011-03-18 18:50:22.293|2015-08-19 21:54:42.070
Modificar_sistemas|SQL_STORED_PROCEDURE|2011-03-18 18:50:47.560|2015-08-19 21:54:42.073
buscar_login|SQL_STORED_PROCEDURE|2011-03-18 19:03:26.193|2015-08-19 21:54:42.073
Crear_Cancelacion|SQL_STORED_PROCEDURE|2011-03-19 11:42:34.493|2019-12-14 18:30:46.397
Anular_Cancelacion|SQL_STORED_PROCEDURE|2011-03-19 11:55:15.190|2015-08-19 21:54:42.087
Flulo_BuscarxNomCB|SQL_STORED_PROCEDURE|2011-03-21 09:19:52.500|2015-08-19 21:54:42.133
MostrarVentas|SQL_STORED_PROCEDURE|2011-03-21 22:59:37.937|2021-01-07 18:37:18.863
Pagar_Comprobante|SQL_STORED_PROCEDURE|2011-03-22 00:37:21.090|2015-08-19 21:54:42.183
buscar_comprobantexcod|SQL_STORED_PROCEDURE|2011-03-22 01:36:50.873|2021-08-18 11:49:04.353
MostrarDeudasxCobrar|SQL_STORED_PROCEDURE|2011-03-22 09:31:20.193|2021-05-31 14:50:29.110
Buscar_CodigoBarr|SQL_STORED_PROCEDURE|2011-03-22 11:13:02.013|2017-09-23 23:54:07.443
Crear_cuadrecaja|SQL_STORED_PROCEDURE|2011-03-22 12:32:15.820|2016-03-14 19:29:56.077
Modificar_Cuadrecaja|SQL_STORED_PROCEDURE|2011-03-22 12:32:42.727|2015-08-19 21:54:42.223
mostrartotaldoc|SQL_STORED_PROCEDURE|2011-03-22 16:54:11.150|2015-08-19 21:54:42.230
mostrartotalcaja|SQL_STORED_PROCEDURE|2011-03-22 17:08:51.930|2015-08-19 21:54:42.233
Buscar_mostrarmonedas|SQL_STORED_PROCEDURE|2011-03-22 18:07:46.027|2020-01-04 11:54:27.320
Buscar_CUADRECAJA|SQL_STORED_PROCEDURE|2011-03-22 18:10:38.173|2015-08-19 21:54:42.237
Buscar_mostrarlinea|SQL_STORED_PROCEDURE|2011-03-23 01:20:54.900|2015-08-19 21:54:42.417
Buscar_mostrarSublinea|SQL_STORED_PROCEDURE|2011-03-23 01:36:16.197|2015-08-19 21:54:42.420
Buscar_mostrarventastotales|SQL_STORED_PROCEDURE|2011-03-23 02:22:42.587|2015-08-19 21:54:42.427
Buscar_masvendidos|SQL_STORED_PROCEDURE|2011-03-23 10:21:20.033|2015-08-19 21:54:42.440
AA_Backup_Base|SQL_STORED_PROCEDURE|2011-03-23 10:57:34.090|2026-04-28 09:59:21.743
Buscar_mostrarcierres|SQL_STORED_PROCEDURE|2011-03-23 11:18:38.787|2017-10-24 18:43:51.927
Buscar_buscarvoucher|SQL_STORED_PROCEDURE|2011-03-23 15:50:17.553|2020-12-07 20:44:08.133
Mostrardeudasxcliente|SQL_STORED_PROCEDURE|2011-03-23 19:10:33.173|2021-06-14 23:35:14.767
Anular_Cancelacionxdocumento|SQL_STORED_PROCEDURE|2011-03-24 01:20:55.110|2015-08-19 21:54:42.490
Comprobante_buscarxcomprobante|SQL_STORED_PROCEDURE|2011-03-24 10:31:12.540|2015-08-19 21:54:42.493
Buscar_cancelacionesxrecibo|SQL_STORED_PROCEDURE|2011-03-24 12:06:02.737|2020-12-02 11:54:01.510
Movimiento_mostrarNroEnvio|SQL_STORED_PROCEDURE|2011-03-25 18:05:08.160|2015-08-19 21:54:42.503
Mostrarventasdetalladas|SQL_STORED_PROCEDURE|2011-03-30 12:51:01.187|2019-12-14 20:17:28.790
Producto_BuscarxTipo1|SQL_STORED_PROCEDURE|2011-03-31 19:55:03.590|2021-08-20 22:01:50.373
Producto_BuscarxNomxCODEBARR|SQL_STORED_PROCEDURE|2011-04-02 10:41:05.060|2026-03-23 09:19:25.130
sp_producto_Eliminar|SQL_STORED_PROCEDURE|2011-04-02 12:33:38.123|2015-08-19 21:54:41.673
Modificar_detalledesc|SQL_STORED_PROCEDURE|2011-04-14 10:54:33.170|2015-08-19 21:54:41.743
Producto_BuscarxMARCA|SQL_STORED_PROCEDURE|2011-04-14 20:44:51.950|2015-08-19 21:54:41.750
Producto_BuscarxPROVEEDOR|SQL_STORED_PROCEDURE|2011-04-14 21:01:39.467|2020-12-13 16:45:34.380
mostar_Razsocial|SQL_STORED_PROCEDURE|2011-04-16 11:35:36.500|2015-08-19 21:54:41.990
buscar_AlmacenxRazsocial|SQL_STORED_PROCEDURE|2011-04-16 11:35:59.293|2015-08-19 21:54:41.990
mostar_Razsocialxcod|SQL_STORED_PROCEDURE|2011-04-18 17:25:23.327|2015-08-19 21:54:41.993
Modificar_VISITA|SQL_STORED_PROCEDURE|2011-04-19 18:07:03.793|2015-08-19 21:54:41.997
Modificar_Recepcion|SQL_STORED_PROCEDURE|2011-04-26 12:30:09.873|2015-08-19 21:54:41.997
Crear_requerimiento|SQL_STORED_PROCEDURE|2011-04-29 11:22:11.920|2015-08-19 21:54:42.067
Buscar_Requerimiento|SQL_STORED_PROCEDURE|2011-04-29 12:54:33.340|2015-08-19 21:54:42.073
MostrarComprasxRazonSoc|SQL_STORED_PROCEDURE|2011-04-29 14:07:02.530|2015-08-19 21:54:42.077
Modificar_requerimientos|SQL_STORED_PROCEDURE|2011-04-29 17:13:54.123|2015-08-19 21:54:42.080
reporte_Eliminar|SQL_STORED_PROCEDURE|2011-05-04 21:08:05.763|2015-08-19 21:54:42.083
reportes_Insertar|SQL_STORED_PROCEDURE|2011-05-04 21:08:25.670|2015-08-19 21:54:42.083
sp_Movimiento_modificarobservacion|SQL_STORED_PROCEDURE|2011-05-20 19:18:31.360|2021-06-21 20:06:20.703
familia_Insertar|SQL_STORED_PROCEDURE|2011-06-14 16:26:31.390|2015-08-19 21:54:42.133
Familia_Modificar|SQL_STORED_PROCEDURE|2011-06-14 16:28:47.740|2015-08-19 21:54:42.137
buscar_familiaxDesc|SQL_STORED_PROCEDURE|2011-06-14 16:59:22.690|2015-08-19 21:54:42.177
buscar_familiaxCod|SQL_STORED_PROCEDURE|2011-06-14 17:08:41.113|2015-08-19 21:54:42.180
buscar_ProdSinfamilia|SQL_STORED_PROCEDURE|2011-06-20 09:41:00.910|2015-08-19 21:54:42.187
buscar_ProdConfamilia|SQL_STORED_PROCEDURE|2011-06-20 09:49:25.440|2015-08-19 21:54:42.207
sp_ProdFamilia_Eliminar|SQL_STORED_PROCEDURE|2011-06-20 09:58:07.380|2015-08-19 21:54:42.210
ProdFamilia_Insertar|SQL_STORED_PROCEDURE|2011-06-20 10:02:55.060|2015-08-19 21:54:42.210
Prodfamilia_Eliminar|SQL_STORED_PROCEDURE|2011-06-20 10:23:54.507|2015-08-19 21:54:42.217
buscar_Prodfamilia|SQL_STORED_PROCEDURE|2011-06-22 10:35:10.863|2015-08-19 21:54:42.220
Producto_ModificarPrecio|SQL_STORED_PROCEDURE|2011-06-22 11:05:39.080|2015-08-19 21:54:42.223
buscar_Prodfamiliaxprod|SQL_STORED_PROCEDURE|2011-06-22 18:38:03.920|2015-08-19 21:54:42.227
