Cod_Producto,Bombona,Cod_Contenido,ContenidoFuente,Cod_UnidadFuente,UnidadFuenteLegacy,CantidadFuenteLegacy,M3GasResultado,PesoNetoKgResultado
234,"Nitrógeno Industrial B14 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",4.678000,3.950000,4.680000
235,"Nitrógeno Industrial B16 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",5.347000,4.510000,5.350000
236,"Nitrógeno Industrial B20 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",6.683000,5.640000,6.680000
237,"Nitrógeno Industrial B30 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",10.025000,8.460000,10.030000
238,"Nitrógeno Industrial B40 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",13.367000,11.280000,13.370000
239,"Nitrógeno Industrial B50 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",16.709000,14.100000,16.710000
240,"Nitrógeno Industrial B80 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",26.734000,22.560000,26.730000
241,"Nitrógeno Industrial 12*50 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",200.502000,169.200000,200.500000
242,"Nitrógeno Industrial 16*50 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",267.336000,225.600000,267.340000
243,"Nitrógeno Industrial 20*50 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",334.170000,282.000000,334.170000
244,"Nitrógeno Industrial 12*80 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",320.803000,270.720000,320.800000
245,"Nitrógeno Industrial 16*80 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",427.738000,360.960000,427.740000
246,"Helio B5 / 200BAR",380,"Helio Liquido",2,"Litros",0.152000,0.910000,0.150000
247,"Helio B7 / 200BAR",380,"Helio Liquido",2,"Litros",0.213000,1.270000,0.210000
248,"Helio B10 / 200BAR",380,"Helio Liquido",2,"Litros",0.304000,1.820000,0.300000
249,"Helio B14 / 200BAR",380,"Helio Liquido",2,"Litros",0.426000,2.550000,0.430000
250,"Helio B20 / 200BAR",380,"Helio Liquido",2,"Litros",0.608000,3.640000,0.610000
251,"Helio B30 / 200BAR",380,"Helio Liquido",2,"Litros",0.912000,5.460000,0.910000
252,"Helio B40 / 200BAR",380,"Helio Liquido",2,"Litros",1.216000,7.280000,1.220000
253,"Helio B50 / 200BAR",380,"Helio Liquido",2,"Litros",1.520000,9.100000,1.520000
254,"Helio B5 / 300BAR",380,"Helio Liquido",2,"Litros",0.228000,1.370000,0.230000
255,"Helio B7 / 300BAR",380,"Helio Liquido",2,"Litros",0.319000,1.910000,0.320000
256,"Helio B10 / 300BAR",380,"Helio Liquido",2,"Litros",0.456000,2.730000,0.460000
257,"Helio B14 / 300BAR",380,"Helio Liquido",2,"Litros",0.638000,3.820000,0.640000
258,"Helio B20 / 300BAR",380,"Helio Liquido",2,"Litros",0.912000,5.460000,0.910000
259,"Helio B30 / 300BAR",380,"Helio Liquido",2,"Litros",1.368000,8.190000,1.370000
260,"Helio B40 / 300BAR",380,"Helio Liquido",2,"Litros",1.824000,10.920000,1.820000
261,"Helio B50 / 300BAR",380,"Helio Liquido",2,"Litros",2.280000,13.650000,2.280000
262,"MADURGAS (N2 + Etileno 4%) B40 / 150BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",0.271000,5.760000,6.820000
263,"MADURGAS (N2 + Etileno 4%) B50 / 150BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",0.339000,7.200000,8.530000
264,"MADURGAS (N2 + Etileno 4%) B40 / 200BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",0.362000,7.680000,9.100000
265,"MADURGAS (N2 + Etileno 4%) B50 / 200BAR",407,"ETILENO PURO B50 / 18,5KG LIQUIDO",3,"UND",0.452000,9.600000,11.370000
